timestamp,voc [ppb],sound_pressure_level [dba],indoor_relative_humidity [%],air_temperature [Celsius],illuminance [lux],pm2.5 [mu_g/m3],indoor_co2 [ppm],wifi_connected_devices [number],ceiling_fan_energy [kWh],lighting_energy [kWh],plug_load_energy [kWh],chilled_water_energy [kWh],ahu_fan_energy [kWh],supply_air_flow [CMH],damper_position [%],temp_setpoint [Celsius],cooling_coil_valve_position [%],cooling_coil_valve_command [%],ahu_fan_speed [Hz],offcoil_air_temp [Celsius],offcoil_temp_setpoint [Celsius],pressure_across_filter [Pa],supply_air_humidity [%],supply_air_pressure [Pa],supply_air_temperature [Celsius],baromatic_pressure [hPa],dry_bulb_temp [Celsius],global_horizontal_solar_radiation [W/m2],wind_direction [Degree],wind_speed [m/s],outdoor_co2 [ppm],outdoor_relative_humidity [%],occupant_presence [binary],occupant_count [number]
2021-09-07 01:10 +08:00,276.8333435,56.74333191,64.59967041,27.06299973,402.2166748,4.099999905,460.5333252,2,0,0,0.01709,0,0.01562,1942.828,72.98235,26,7.738284588,0,0,24.09933662,17,0,94.8447876,0,25.47460365,1004.799988,26.29999924,0,63.04958344,0.7950176,462.7025757,96.80000305,0,0
2021-09-07 01:15 +08:00,255.9333344,55.47333145,64.38400269,27.10033417,496.5033264,4.099999905,467.2999878,2,0,0,0.016602,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.09933662,17,0,94.8447876,0,25.47460365,1004.700012,26.39999962,0,75.96520233,0.598380387,462.7025146,96.20485687,0,0
2021-09-07 01:20 +08:00,320.5666809,56.34000015,64.40866852,27.02199936,551.0866699,3.933333397,471.4333191,4,0,0,0.016601,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.09933662,17,0,94.8447876,0,25.47460365,1004.599976,26.39999962,0,91.66123199,0.419999987,462.1092224,96,0,0
2021-09-07 01:25 +08:00,395.5666809,55.15999985,64.16233063,27.03966713,552.8933105,3.833333254,470.6333313,3,0,0,0.01709,0,0.01563,1942.828,72.98235,26,7.738284588,0,0,24.09933662,17,0,94.8447876,0,25.57201958,1004.599976,26.39999962,0,100.954422,0.456907123,463.089386,96.19999695,0,0
2021-09-07 01:30 +08:00,361.0689697,55.84138107,64.2875824,26.94793129,552.5585938,3.551724195,467.758606,3,0,0,0.016602,0,0.01757,1942.828,72.98235,26,7.738284588,0,0,24.09933662,17,0,94.8447876,0,25.57363129,1004.700012,26.40161514,0,78.27254486,0.222422689,462.8895264,96.5,0,0
2021-09-07 01:35 +08:00,325.9333191,55.27999878,64.11799622,26.9406662,541.2233276,3.366666555,463.4666748,3,0,0,0.016601,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.09933662,17,0,94.8447876,0,25.57363129,1004.599976,26.5,0,93.50069427,0.593814075,462.3352661,96.79837799,0,0
2021-09-07 01:40 +08:00,295.5333252,54.61999893,63.84066772,26.9766674,536.8366699,3.133333445,465.8666687,3,0,0,0.01709,0,0.01563,1942.828,72.98235,26,7.738284588,0,0,24.09933662,17,0,94.8447876,0,25.57363129,1004.599976,26.5,0,91.47554016,0.372424573,463.4892578,97,0,0
2021-09-07 01:45 +08:00,267.3999939,54.37666702,63.76433182,26.94199944,525.6733398,3.133333445,458,3,0,0,0.016601,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.09933662,17,0,94.8447876,0,25.57363129,1004.599976,26.60000038,0,109.3006058,0.479999989,462.6983032,97.1967392,0,0
2021-09-07 01:50 +08:00,222.1071472,54.43571472,63.6607132,26.94000053,499.7714233,3.142857075,455.5357056,2,0,0,0.016602,0,0.01757,1942.828,72.98235,26,7.738284588,0,0,24.24845886,17,0,94.8447876,0,25.57363129,1004.400024,26.60000038,0,101.9088821,0.360000014,463.8973389,97.5,0,0
2021-09-07 01:55 +08:00,222.8666687,55.62666702,63.63966751,26.92233276,506.2466736,3.033333302,451.7666626,3,0,0,0.01709,0,0.01563,1942.828,72.98235,26,7.738284588,0,0,24.24845886,17,0,94.8447876,0,25.57363129,1004.400024,26.70000076,0,11.19999981,0.059999999,463.1089478,97.79837036,0,0
2021-09-07 02:00 +08:00,209.5,55.3133316,63.48533249,26.93499947,507.7566528,2.833333254,450.7999878,2,0,0,0.016601,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.24845886,17,0,94.8447876,0,25.57363129,1004.398376,26.60162163,0,163.8212585,0.101945542,463.3120422,97.50324249,0,0
2021-09-07 02:05 +08:00,194.1333313,55.38333511,63.26866531,26.97333336,525.8766479,2.833333254,453.2333374,2,0,0.016602,0.016602,0,0.02539,1942.828,72.98235,26,7.738284588,0,0,24.24845886,17,0,94.8447876,0,25.6738224,1004.400024,26.60000038,0.016327905,108.8235245,0.200000003,463.7022095,97.69999695,0,0
2021-09-07 02:10 +08:00,178.8000031,54.54333496,63.28933334,26.92933273,569.0966797,2.799999952,452.4666748,3,0,0.016601,0.01709,0,0.02539,1942.828,72.98235,26,7.738284588,0,0,24.24845886,17,0,94.8447876,0,25.6738224,1004.400024,26.60000038,0,1.500844002,0.112276658,463.0991516,98.09999847,0,0
2021-09-07 02:15 +08:00,165.3666687,54.95666504,62.95066833,27,590.3699951,2.566666603,450.9666748,2,0,0.01709,0.016601,0,0.02539,1942.828,72.98235,26,7.738284588,0,0,24.24845886,17,0,94.8447876,0,25.6738224,1004.398376,26.60000038,0,329.7065125,0.237870991,464.2887878,97.90000153,0,0
2021-09-07 02:20 +08:00,157.1333313,55.11666489,62.92266846,26.98433304,622.6566772,2.433333397,445.9666748,2,0,0.016602,0.016602,0,0.02539,1942.828,72.98235,26,7.738284588,0,0,24.24845886,17,0,94.8447876,0,25.6738224,1004.299988,26.60000038,0,338.9004211,0.169988349,464.4790344,98.09999847,0,0
