timestamp,outside_t,outside_h,outside_c,outside_p,outside_a,outside_v,room_1_t,room_1_h,room_1_c,room_1_p,room_1_a,room_1_v,room_2_t,room_2_h,room_2_c,room_2_p,room_2_a,room_2_v,room_3_t,room_3_h,room_3_c,room_3_p,room_3_a,room_3_v,supply_t,supply_h,supply_c,supply_p,supply_a,supply_v,return_t,return_h,return_c,return_p,return_a,return_v,mixed_t,mixed_h,mixed_c,mixed_p,mixed_a,mixed_v,cooler_t,cooler_h,cooler_c,cooler_p,cooler_a,cooler_v,heated_t,heated_h,heated_c,heated_p,heated_a,heated_v,mixer,fan,flowrate,coolerState,heaterState,humidifierState,time_str,actual_occupancy
2026-07-31 12:07:56.999000+05:30,30.6,67.6,458,0,1,51,22.1,65.2,0,954.8,0,0,25.6,60.1,473,0,1,58,0,0,0,0,0,0,18.6,86.0,435,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:08:02.060000+05:30,30.5,67.3,438,0,1,41,22.1,65.3,0,954.8,0,0,25.6,60.2,474,0,1,59,0,0,0,0,0,0,18.6,86.0,464,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:08:06.996000+05:30,30.5,67.6,425,0,1,35,22.1,65.3,0,954.8,0,0,25.6,60.2,449,0,1,46,0,0,0,0,0,0,18.6,86.0,451,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:08:12.002000+05:30,30.5,67.3,409,0,1,28,22.1,65.3,0,954.8,0,0,25.6,60.3,451,0,1,47,0,0,0,0,0,0,18.6,86.0,470,0,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:08:16.995000+05:30,30.5,67.1,419,0,1,32,22.1,65.3,0,954.8,0,0,25.6,60.3,450,0,1,46,0,0,0,0,0,0,18.6,86.0,441,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:08:22.001000+05:30,30.5,67.2,429,0,1,37,22.1,65.3,0,954.8,0,0,25.6,60.3,432,0,1,38,0,0,0,0,0,0,18.6,86.1,462,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:08:27.001000+05:30,30.5,68.1,454,0,1,49,22.1,65.4,0,954.8,0,0,25.5,60.4,453,0,1,48,0,0,0,0,0,0,18.5,86.0,454,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:08:32.001000+05:30,30.6,68.5,452,0,1,48,22.1,65.4,0,954.8,0,0,25.5,60.5,436,0,1,40,0,0,0,0,0,0,18.5,86.0,450,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:08:37.001000+05:30,30.6,68.2,458,0,1,51,22.1,65.4,0,954.8,0,0,25.5,60.5,438,0,1,41,0,0,0,0,0,0,18.5,86.0,433,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:08:42.001000+05:30,30.6,68.2,438,0,1,41,22.1,65.5,0,954.7,0,0,25.6,60.5,460,0,1,52,0,0,0,0,0,0,18.5,86.0,428,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:08:47.001000+05:30,30.5,67.9,429,0,1,37,22.1,65.5,0,954.7,0,0,25.5,60.5,473,0,1,58,0,0,0,0,0,0,18.5,86.0,481,0,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:08:52+05:30,30.5,68.0,430,0,1,37,22.1,65.5,0,954.7,0,0,25.5,60.5,434,0,1,39,0,0,0,0,0,0,18.6,86.1,438,0,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:08:57+05:30,30.5,67.7,436,0,1,40,22.1,65.5,0,954.8,0,0,25.5,60.6,458,0,1,51,0,0,0,0,0,0,18.6,86.1,468,0,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:09:02+05:30,30.5,67.4,432,0,1,38,22.1,65.5,0,954.8,0,0,25.5,60.6,435,0,1,39,0,0,0,0,0,0,18.5,86.0,438,0,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:09:07+05:30,30.6,67.2,422,0,1,34,22.1,65.5,0,954.8,0,0,25.5,60.6,442,0,1,43,0,0,0,0,0,0,18.5,86.0,449,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:09:12+05:30,30.5,67.7,451,0,1,47,22.1,65.6,0,954.7,0,0,25.5,60.6,428,0,1,36,0,0,0,0,0,0,18.5,85.9,442,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:09:17+05:30,30.6,67.9,449,0,1,46,22.0,65.6,0,954.8,0,0,25.5,60.7,459,0,1,51,0,0,0,0,0,0,18.5,85.9,429,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
2026-07-31 12:09:22+05:30,30.6,68.2,429,0,1,37,22.0,65.6,0,954.8,0,0,25.5,60.7,453,0,1,48,0,0,0,0,0,0,18.5,85.9,447,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,0,0,12:07:00,0
