2.309915710502918765e-04,1.978405022662892317e-04,2.516013190470407092e-09,1.611607918403402517e-03,1.045536632220575140e-05,-1.062795660534050998e-08,-1.979384637179946549e-04,5.997125325948597652e-02,-1.165058523103106036e-02,3.482657004065336954e-12,-6.498249624316923201e-10,-1.234138292961140177e-04
1.978405022662892317e-04,2.840190286399329675e-02,3.829775629437649797e-10,1.654343622925057850e-04,-6.783228051635771701e-04,7.999232445138834746e-09,-2.284110434277158833e-04,-1.434393317364079046e+00,1.457836912727366929e+00,5.343148118193227710e-13,2.637982809591684635e-08,3.296381621041681760e-03
2.516013190470407092e-09,3.829775629437649797e-10,4.394279120377505438e-10,4.627281523355205317e-07,-8.783597734802541324e-10,1.611809093860725219e-10,-5.723321072747922420e-08,-2.392331830699561550e-06,2.197271665364841058e-07,1.000305213287671650e-15,2.798075891880611277e-14,-2.903175558819615219e-08
1.611607918403402517e-03,1.654343622925057850e-04,4.627281523355205317e-07,4.485358029055564466e-01,-6.059656752007786190e-04,-2.245898486378715817e-06,-3.039679522238825093e-02,-1.625618336066020797e+00,1.303991354492593790e-01,6.403714669259280778e-10,1.742831479710433520e-08,-1.250818247115118367e-02
1.045536632220575140e-05,-6.783228051635771701e-04,-8.783597734802541324e-10,-6.059656752007786190e-04,6.008563677368201184e+00,8.919025757044137180e-09,-3.822779086940311394e-05,-8.563625412379164414e-01,-9.870101889992434485e-02,-1.213534131056595784e-12,-4.055586347470299425e-09,1.837811263899160079e-03
-1.062795660534050998e-08,7.999232445138834746e-09,1.611809093860725219e-10,-2.245898486378715817e-06,8.919025757044137180e-09,1.462457721992243444e-08,-5.110939409177595676e-07,2.130905285508695091e-05,3.156461789478757170e-07,-4.183594488456906606e-15,-5.859860377985845290e-14,1.268670914916554418e-05
-1.979384637179946549e-04,-2.284110434277158833e-04,-5.723321072747922420e-08,-3.039679522238825093e-02,-3.822779086940311394e-05,-5.110939409177595676e-07,2.003541068738894093e-02,-4.264950585157613328e-02,-4.293242983925726203e-02,-7.955860912567756947e-11,-3.430367524280113865e-09,-2.567090908953473249e-01
5.997125325948597652e-02,-1.434393317364079046e+00,-2.392331830699561550e-06,-1.625618336066020797e+00,-8.563625412379164414e-01,2.130905285508695091e-05,-4.264950585157613328e-02,6.409937985787875050e+02,-2.203265743206392244e+02,-3.306521140993470369e-09,-8.158444026178771316e-06,3.977660918528069356e+00
-1.165058523103106036e-02,1.457836912727366929e+00,2.197271665364841058e-07,1.303991354492593790e-01,-9.870101889992434485e-02,3.156461789478757170e-07,-4.293242983925726203e-02,-2.203265743206392244e+02,1.811644086929304876e+03,3.046890893560061223e-10,5.665500069234952058e-06,4.179299943073696566e-01
3.482657004065336954e-12,5.343148118193227710e-13,1.000305213287671650e-15,6.403714669259280778e-10,-1.213534131056595784e-12,-4.183594488456906606e-15,-7.955860912567756947e-11,-3.306521140993470369e-09,3.046890893560061223e-10,1.384700608620499806e-18,3.875638490051596633e-17,-3.467760036839615693e-11
-6.498249624316923201e-10,2.637982809591684635e-08,2.798075891880611277e-14,1.742831479710433520e-08,-4.055586347470299425e-09,-5.859860377985845290e-14,-3.430367524280113865e-09,-8.158444026178771316e-06,5.665500069234952058e-06,3.875638490051596633e-17,1.545355285596522707e-13,1.917453094089114319e-08
-1.234138292961140177e-04,3.296381621041681760e-03,-2.903175558819615219e-08,-1.250818247115118367e-02,1.837811263899160079e-03,1.268670914916554418e-05,-2.567090908953473249e-01,3.977660918528069356e+00,4.179299943073696566e-01,-3.467760036839615693e-11,1.917453094089114319e-08,5.204402024796022097e+00
